C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.22214478,0.0064103442,6.6793199e-15,0.0064103442,0.068320806,6.7957796e-15,7.6885292e-15,7.0719728e-15,0.00063421431,0.2464
0.23977513,0.0085243555,7.0888293e-15,0.0085243555,0.075713857,7.3933077e-15,8.6708049e-15,7.6180631e-15,0.00097757494,0.2768
0.27071043,0.011235249,8.7282159e-15,0.011235249,0.08550708,8.9612343e-15,8.8389011e-15,8.5024185e-15,0.0016249524,0.328
0.32026251,0.015497431,1.0623515e-14,0.015497431,0.098739515,1.0515743e-14,1.1006358e-14,1.0230745e-14,0.0029750143,0.4048
0.40130349,0.023095562,1.3028763e-14,0.023095562,0.11735753,1.2007331e-14,1.4058409e-14,1.4129195e-14,0.0061684444,0.496
0.50336377,0.035384501,1.5242091e-14,0.035384501,0.14529881,1.4407939e-14,1.6175054e-14,1.5185409e-14,0.015236636,0.592
0.60859965,0.054817933,1.7641123e-14,0.054817933,0.19120159,1.8354144e-14,1.8430662e-14,1.7655031e-14,0.044659375,0.688
0.72207282,0.096542038,1.8909872e-14,0.096542038,0.29889837,2.1226611e-14,2.0992333e-14,1.9478213e-14,0.12336405,0.7824
0.84846679,0.1771323,2.1505773e-14,0.1771323,0.53309778,2.2873297e-14,2.3122754e-14,2.3012185e-14,0.22425957,0.8704
0.96215082,0.24771524,2.4534299e-14,0.24771524,0.76682357,2.5395449e-14,2.3983879e-14,2.4427505e-14,0.30150218,0.9344
1.0495841,0.30175364,2.6469489e-14,0.30175364,0.98023777,2.6417171e-14,2.603277e-14,2.587185e-14,0.35624365,0.976
1.0946525,0.32806212,2.5993649e-14,0.32806212,1.093356,2.6161356e-14,2.6072291e-14,2.5642406e-14,0.38278505,0.9984
0.22292144,0.016398635,9.8588962e-15,0.016398635,0.19033744,9.4694113e-15,9.3825057e-15,9.33882e-15,0.0052444513,0.3312
0.2229218,0.01639875,9.9449482e-15,0.01639875,0.1903377,8.7047056e-15,8.5592355e-15,9.7488071e-15,0.0052444965,0.3312
0.2229558,0.016409816,8.844149e-15,0.016409816,0.19036298,8.8387395e-15,1.0136895e-14,1.0378161e-14,0.0052488365,0.3312
0.22514174,0.017128025,9.6561799e-15,0.017128025,0.19197505,7.9729234e-15,8.473493e-15,9.6309222e-15,0.0055380871,0.3344
0.23959872,0.021645709,9.8501554e-15,0.021645709,0.20199595,9.4965389e-15,9.3317057e-15,9.9552614e-15,0.0077167505,0.3536
0.26550186,0.027524545,9.9926189e-15,0.027524545,0.21715018,1.0664635e-14,1.0464227e-14,1.0332019e-14,0.012108587,0.3904
